key,comment,en,fr-fr,it,de,es,pt-br,ru,zh-cn,zh-tw,ko,jp,nl,cat,tok,sl
END_DEMO,,END OF THE DEMO,FIN DE LA DÉMO,FINE DELLA DEMO,ENDE DER DEMO,FIN DE LA DEMO,FIM DA DEMO,КОНЕЦ ДЕМО,试玩版结束,試玩版結束,데모 종료,デモ終了,EINDE VAN DE DEMO,FI DE LA DEMO,MUSI LILI LI PINI,KONEC DEMA
END_DEMO_MOBILE,Message that shows up at the end of the free part of the game on mobile and upsells the full version.,"Thanks for playing!
 <br><br>There's more to enjoy in the free version, but for the full campaign experience unlock the rest of the game and support the developers here:","Merci d'avoir joué !<br><br>Vous pouvez encore vous amuser dans la version gratuite, mais pour faire l'expérience de la campagne complète, débloquez le reste du jeu et montrez votre soutien aux développeurs ici :","Grazie per aver giocato!
<br><br>La versione gratuita offre molto di più, ma per goderti l'esperienza completa della campagna sblocca il resto del gioco e supporta gli sviluppatori qui:","Danke fürs Spielen!
  <br><br>In der kostenlosen Version gibt es noch mehr zu erleben, aber für das volle Kampagnenerlebnis schalte den Rest des Spiels frei und unterstütze die Entwickler hier:","¡Gracias por jugar!
 <br><br>Puedes exprimir más la versión gratuita, pero para experimentar la campaña completa desbloquea el resto del juego y apoya a los desarrolladores aquí:","Obrigado por jogar!
 <br><br>Ainda há mais a fazer na versão grátis, mas desbloqueie o resto do jogo com a experiência completa da campanha e apoie os desenvolvedores aqui:","Спасибо, что поиграли!
 <br><br>Вы можете найти еще много чего интересного в демо, но если хотите целиком пройти сюжет в полной версии игры и поддержать разработчиков, то вам сюда:","感谢体验！
 <br><br>免费版还有其他内容可以体验，不过想 完整体验主线的话，请通过以下方式解锁游戏剩余内容，支持开发团队：","感謝遊玩！
<br><br>免費版已有豐富內容，但你若想體驗所有主線關卡並支持開發者，歡迎你在此解鎖完整版：","플레이해주셔서 감사합니다!
 <br><br>무료 버전에서도 더 많은 레벨을 플레이하실 수 있습니다. 하지만, 전체 캠페인을 체험하시려면 정식 버전으로 업그레이드하시고, 다음에서 개발자들을 지원하세요:",あそんでくれてありがとう！ <br><br> 無料版もまだまだ楽しくあそべますが、ゲーム本編をすべてあそんでみたい場合は、ゲームの残り部分をアンロックして開発者へのサポートをぜひお願いします：,"Bedankt voor het spelen!
  <br><br>De gratis versie heeft nog meer moois om van te genieten, maar ontgrendel de volledige campagne en steun de ontwikkelaars hier:","Gràcies per jugar!
<br><br>Pots seguir gaudint de la versió gratuita, però per a la experiència completa, desbloqueja la resta del joc i dóna suport als desenvolupadors aquí:","sina musi la pona!<br><br>ijo musi ante pi mani ala li awen lon, taso sina wile e musi ale la o esun e ni o pana e pona tawa jan pali ona, kepeken ni:","Hvala za igranje!
<br><br>V zastonjski verziji je še več za poizkusiti, toda za celotno izkušnjo igre odklenite preostanek igre in podprite ustvarjalce:"
THE_FULL_GAME,,"The full game of LOK Digital has many more levels, mechanics and secrets to discover.","Le jeu complet <i>LOK Digital</i> comprend bien plus de niveaux, de mécanismes et de secrets à découvrir.","La versione completa di LOK Digital ha molti più livelli, meccaniche e segreti da scoprire.","In der Vollversion von LOK Digital gibt es noch viele weitere Levels, Mechaniken und Geheimnisse zu entdecken.","El juego completo de LOK Digital tiene muchos más niveles, mecánicas y secretos que descubrir.","A versão completa de LOK Digital possui muito mais níveis, mecânicas e segredos para descobrir.","В полной версии LOK Digital еще больше уровней, механик и скрытых секретов.",《LOK数字版》的完整版有很多关卡、机制和秘密内容等你发现。,《LOK Digital》完整版收錄了更多關卡、解謎機制，以及等待你發掘的祕密。,"정식 버전에는 더 많은 레벨과 메커니즘, 그리고 비밀이 숨겨져 있습니다.",『LOK Digital』のリリース版では、もっとたくさんのステージやしかけ、そしてシークレット要素をあそべます。,"De volledige versie van LOK Digital heeft veel meer levels, regels, en geheimen om te ontdekken.","El joc complet de LOK Digital té molts més nivells, mecàniques i secrets per descobrir.",musi LOK Digital pi lili ala la ma en nasin en sona len li mute li sin li musi.,"Cela igra LOK Digital bo imela veliko več ugank, mehanik in skrivnosti"
BOOK_EXPLAIN,,"<b>LOK Digital</b> is the video game adaptation of <b>LOK</b>, <br>a puzzle book by Blaž Urban Gracar.","<b><i>LOK Digital</b></i> est l'adaptation vidéoludique de <b><i>LOK</i></b>,<br>un livre de casse-têtes par Blaž Urban Gracar.","<b>LOK Digital</b> è l'adattamento videoludico di <b>LOK</b>, <br>un libro di rompicapi di Blaž Urban Gracar.","<b>LOK Digital</b> ist die Videospieladaption von <b>LOK</b>, <br>einem Rätselbuch von Blaž Urban Gracar.","<b>LOK Digital</b> es la adaptación a videojuego de <b>LOK</b>, <br>un libro de puzles de Blaž Urban Gracar.","<b>LOK Digital</b> é a adaptação em video game de <b>LOK</b>, <br>um livro de puzzles de Blaž Urban Gracar.","<b>LOK Digital</b> — это видеоигровая адаптация <b>LOK</b>, <br>книги-загадки автора Blaž Urban Gracar.",<b>《LOK数字版》</b>改编自Blaž Urban Gracar创作的解谜书<b>《LOK》</b>。,<b>《LOK Digital》</b>改編自Blaž Urban Gracar著作的解謎書籍<b>《LOK》</b>。,<b>LOK Digital</b>은 Blaž Urban Gracar의 퍼즐 북 <b>LOK</b>의 비디오 게임 버전입니다.,<b>『LOK Digital』</b>はBlaž Urban Gracar作のパズルブック<br><b>『LOK』</b>をゲーム化した作品です。,"<b>LOK Digital</b> is de videogameversie van <b>LOK</b>, <br>een puzzelboek geschreven door Blaž Urban Gracar.","<b>LOK Digital</b> és una adaptació a videojoc de <b>LOK</b>, <br>un llibre de puzzles creat per Blaž Urban Gracar.",<b>musi ilo LOK Digital</b> li ni: jan li pana e musi lipu <b>LOK</b> tawa ilo. <br>musi lipu li tan jan Blaž Urban Gracar.,"<b>LOK Digital</b> je digitalna adaptacija <b>LOKa</b>, <br>knjige ugank Blaža Urbana Gracarja."
LEARN_MORE,,LEARN MORE,EN DÉCOUVRIR PLUS,SCOPRI DI PIÙ,MEHR ERFAHREN,MÁS INFORMACIÓN,SAIBA MAIS,УЗНАТЬ БОЛЬШЕ,了解详情,瞭解詳情,더 알아보기,もっとくわしく見てみる,MEER INFO,SABER-NE MÉS,SONA MUTE,IZVEDI VEČ
CREDITS_LOCALIZATION,,Localization,Localisation,Localizzazione,Lokalisierung,Localización,Localização,Перевод,本地化,本地化,현지화,ローカライズ,Lokalisatie,Localització,jan li toki ante e musi,Lokalizacija
CREDITS_PLAYTEST,,Playtesters,Testeurs,Tester,Spieltester,Pruebas,Testes,Тестеры игры,游戏测试,遊戲測試,플레이테스터,テスター,Speltesters,Playtesters,jan li musi li toki e pilin,Preizkuševalci
CREDITS_SPECIAL_THANKS,,Special Thanks,Remerciements spéciaux,Ringraziamenti speciali,Besonderer Dank,Agradecimientos especiales,Agradecimentos especiais,Большое спасибо,特别感谢,特別感謝,특별히 감사드립니다,スペシャルサンクス,Speciale dank,Agraïments,jan pona ante,Posebne zahvale
CREDITS_FONTS_TITLE,,Fonts,Polices,Font,Schriftarten,Fuentes,Fontes,Шрифты,字体,字體,폰트,フォント,Lettertypen,Fonts,nasin pi sitelen toki,Pisave
CREDITS_FONTS_TEXT,,<b>LOK Font </b><br>inspired by NovaMono by Fontcollector<br><b>Century</b> (Linn Boyd Benton)<br><b>Noto Sans</b> (Google),<b>LOK Font</b><br>inspirée par NovaMono de Fontcollector<br><b>Century </b><br>Google Fonts,<b>Font LOK </b><br>ispirato a NovaMono di Fontcollector<br><b>Century</b> (Linn Boyd Benton)<br><b>Noto Sans</b> (Google),<b>LOK-Schriftart</b><br>inspiriert von NovaMono von Fontcollector<br><b>Century</b> (Linn Boyd Benton)<br><b>Noto Sans</b> (Google),<b>LOK Font</b><br>inspirada por NovaMono de Fontcollector<br><b>Century</b> (Linn Boyd Benton)<br><b>Noto Sans</b> (Google),<b>LOK Font </b><br>inspirada por NovaMono de Fontcollector<br><b>Century</b> (Linn Boyd Benton)<br><b>Noto Sans</b> (Google),<b>LOK Font </b><br>вдохновлен шрифтом NovaMono авторства Fontcollector<br><b>Century</b> (Linn Boyd Benton)<br><b>Noto Sans</b> (Google),<b>LOK Font</b><br>灵感来自Fontcollector的NovaMono<br><b>Century</b> (Linn Boyd Benton)<br><b>Noto Sans</b> (Google),<b>LOK Font</b><br>靈感來自Fontcollector的NovaMono<br><b>Century</b> (Linn Boyd Benton)<br><b>Noto Sans</b> (Google),<b>LOK 폰트</b><br>inspired by NovaMono by Fontcollector<br><b>Century</b> (Linn Boyd Benton)<br><b>Noto Sans</b> (Google),<b>LOKのフォント</b><br>FontcollectorのNovaMonoよりインスパイア<br><b>Century</b> (Linn Boyd Benton)<br><b>Noto Sans</b> (Google),<b>LOK-lettertype </b><br>geïnspireerd op NovaMono van Fontcollector<br><b>Century</b> (Linn Boyd Benton)<br><b>Noto Sans</b> (Google),<b>LOK Font </b><br>inspirada en NovaMono de Fontcollector<br><b>Century</b> (Linn Boyd Benton)<br><b>Noto Sans</b> (Google),<b>nasin sitelen LOK </b><br>li sama sitelen NovaMono pi jan Fontcollector<br><b>Century</b> (Linn Boyd Benton)<br><b>Noto Sans</b> (Google),<b>LOK Font </b><br>inspiriran od NovaMono by Fontcollector<br><b>Century</b> (Linn Boyd Benton)<br><b>Noto Sans</b> (Google)
WORLD_COMPLETED,,WORLD COMPLETED!,MONDE TERMINÉ !,MONDO COMPLETATO!,WELT ABGESCHLOSSEN!,¡MUNDO COMPLETADO!,MUNDO CONCLUÍDO!,МИР ЗАВЕРШЕН!,世界通关！,世界通關！,월드 클리어!,ワールドができました！,WERELD VOLTOOID!,MÓN COMPLETAT!,MA NI LA PINI!,ZAKLJUČEN SVET!
NEXT_WORLD_UNLOCKED,,NEXT WORLD UNLOCKED!,MONDE SUIVANT DÉBLOQUÉ !,MONDO SUCCESSIVO SBLOCCATO!,NÄCHSTE WELT FREIGESCHALTET!,¡MUNDO SIGUIENTE DESBLOQUEADO!,PRÓXIMO MUNDO DESBLOQUEADO!,НОВЫЙ МИР ОТКРЫТ!,下一个世界解锁！,下一世界解鎖！,다음 월드가 잠금해제 되었습니다!,次のワールドが出てきました！,VOLGENDE WERELD ONTGRENDELD!,S'HA DESBLOQUEJAT EL MÓN SEGÜENT!,MA KAMA LI LON!,NASLEDNJI SVET ODKLENJEN!
BONUS_WORLD_UNLOCKED,,BONUS WORLD UNLOCKED!,MONDE BONUS DÉBLOQUÉ !,MONDO BONUS SBLOCCATO!,BONUSWELT FREIGESCHALTET!,¡MUNDO EXTRA DESBLOQUEADO!,MUNDO BÔNUS DESBLOQUEADO!,БОНУСНЫЙ МИР ОТКРЫТ!,奖励世界解锁！,額外世界解鎖！,보너스 월드가 잠금해제 되었습니다!,ボーナスワールドが出てきました！,BONUSWERELD ONTGRENDELD!,MÓN EXTRA DESBLOQUEJAT!,MA NAMAKO LI LON!,DODATNI SVET ODKLENJEN!
FINAL_LEVEL_UNLOCKED,,FINAL LEVEL UNLOCKED!,NIVEAU FINAL DÉBLOQUÉ !,LIVELLO FINALE SBLOCCATO!,LETZTES LEVEL FREIGESCHALTET!,¡NIVEL FINAL DESBLOQUEADO!,NÍVEL FINAL DESBLOQUEADO!,ПОСЛЕДНИЙ УРОВЕНЬ ОТКРЫТ!,最终关卡解锁！,最終關卡解鎖！,마지막 레벨이 잠금해제 되었습니다!,最後のステージが出てきました！,LAATSTE LEVEL ONTGRENDELD!,MÓN FINAL DESBLOQUEJAT!,MA PINI LI LON!,ZADNJA UGANKA ODKLENJENA!
CREDITS_PUBLISHING,,Publishing,Édition,Publisher,Publishing,Edición,Publicação,Издатель,发行,發行商,퍼블리싱,パブリッシング,Publishing,Publicació,jan li pana e musi tawa esun,Založništvo
CREDITS_ALAN,,<b>Head Draknek</b><br>Alan Hazelden,<b>Chef Draknek</b><br>Alan Hazelden,<b>Capo Draknek</b><br>Alan Hazelden,<b>Draknek-Leiter</b><br>Alan Hazelden,<b>Draknek principal</b><br>Alan Hazelden,<b>Chefe Draknek</b><br>Alan Hazelden,<b>Главный Draknek</b><br>Alan Hazelden,<b>Head Draknek</b><br>Alan Hazelden,<b>Head Draknek</b><br>Alan Hazelden,<b>Draknek 대표</b><br>Alan Hazelden,<b>Draknek代表</b><br>Alan Hazelden,<b>Draknek teamlead</b><br>Alan Hazelden,<b>Head Draknek</b><br>Alan Hazelden,Alan Hazelden<br><b>li jan Draknek lawa</b>,<b>Draknek direktor</b><br>Alan Hazelden
CREDITS_SYRENNE,,<b>Production Support</b><br>Syrenne McNulty,<b>Soutien production</b><br>Syrenne McNulty,<b>Supporto alla produzione</b><br>Syrenne McNulty,<b>Produktionsunterstützung</b><br>Syrenne McNulty,<b>Apoyo de producción</b><br>Syrenne McNulty,<b>Apoio de produção</b><br>Syrenne McNulty,<b>Производственное обеспечение</b><br>Syrenne McNulty,<b>出品支持</b><br>Syrenne McNulty,<b>製作支援</b><br>Syrenne McNulty,<b>프로덕션 지원</b><br>Syrenne McNulty,<b>プロダクションサポート</b><br>Syrenne McNulty,<b>Productieondersteuning</b><br>Syrenne McNulty,<b>Suport de producció</b><br>Syrenne McNulty,Syrenne McNulty<br><b>li wawa e pali ale<b>,<b>Produkcijska podpora</b><br>Syrenne McNulty
CREDITS_MAIRI,,<b>Studio Manager</b><br>Mairi Nolan,<b>Gestion studio</b><br>Mairi Nolan,<b>Responsabile studio</b><br>Mairi Nolan,<b>Studio-Manager</b><br>Mairi Nolan,<b>Director del estudio</b><br>Mairi Nolan,<b>Gerente de estúdio</b><br>Mairi Nolan,<b>Менеджер студии</b><br>Mairi Nolan,<b>工作室经理</b><br>Mairi Nolan,<b>工作室經理</b><br>Mairi Nolan,<b>스튜디오 매니저</b><br>Mairi Nolan,<b>スタジオマネージャー</b><br>Mairi Nolan,<b>Studiomanager</b><br>Mairi Nolan,<b>Studio Manager</b><br>Mairi Nolan,Mairi Nolan<br><b>li lawa e kulupu pali</b>,<b>Studio Manager</b><br>Mairi Nolan
CREDITS_DANA,,<b>Marketing (Q2 2024)</b><br>Dana Trebella,<b>Marketing (Q2 2024)</b><br>Dana Trebella,<b>Marketing (Q2 2024)</b><br>Dana Trebella,<b>Marketing (Q2 2024)</b><br>Dana Trebella,<b>Publicidad (Q2 2024)</b><br>Dana Trebella,<b>Marketing (Q2 2024)</b><br>Dana Trebella,<b>Маркетинг (Q2 2024)</b><br>Dana Trebella,<b>营销 (Q2 2024)</b><br>Dana Trebella,<b>行銷 (Q2 2024)</b><br>Dana Trebella,<b>마케팅 (Q2 2024)</b><br>Dana Trebella,<b>マーケティング (Q2 2024)</b><br>Dana Trebella,<b>Marketing (Q2 2024)</b><br>Dana Trebella,<b>Marketing (Q2 2024)</b><br>Dana Trebella,Dana Trebella<br><b>li toki e musi tawa ale</b>,<b>Marketing (Q2 2024)</b><br>Dana Trebella
INTRO_SKIP,,Press <b>S</b> to skip,Pressez <b>S</b> pour passer,Premi <b>S</b> per saltare,Drücke <b>S</b> zum Überspringen,Pulsa <b>S</b> para omitir,Pressione <b>S</b> para pular,"Нажмите <b>S</b>, чтобы пропустить",按<b>S</b>跳过,按<b>S</b>跳過,넘기려면 <b>S</b>를 누르세요,<b>S</b>を押してスキップ,Druk op <b>S</b> om over te slaan,Prem <b>S</b> per saltar la intro,nena <b>S</b> li weka e ni,"Kliknite <b>S</b>, da preskočite"
INTRO_SKIP_CONTROLLER,,Press <b>Start</b> to skip,Pressez <b>Start</b> pour passer,Premi <b>Start</b> per saltare,Drücke <b>Start</b> zum Überspringen,Pulsa <b>Start</b> para omitir,Pressione <b>Start</b> para pular,"Нажмите <b>Start</b>, чтобы пропустить",按<b>Start</b>跳过,按<b>Start</b>跳過,넘기려면 <b>Start</b>를 누르세요,<b>Start</b>を押してスキップ,Druk op <b>Start</b> om over te slaan,Prem <b>Start</b> per saltar la intro,nena <b>Start</b> li weka e ni,"Kliknite <b>Start</b>, da preskočite"
INTRO_SKIP_SWITCH,,Press <b>+</b> to skip,Pressez <b>+</b> pour passer,Premi <b>+</b> per saltare,Drücke <b>+</b> zum Überspringen,Pulsa <b>+</b> para omitir,Pressione <b>+</b> para pular,"Нажмите <b>+</b>, чтобы пропустить",按<b>+</b>跳过,按<b>+</b>跳過,넘기려면 <b>+</b>를 누르세요,<b>+</b>を押してスキップ,Druk op <b>+</b> om over te slaan,Prem <b>+</b> per saltar la intro,nena <b>+</b> li weka e ni,"Kliknite <b>+</b>, da preskočite"
INTRO_SKIP_MOBILE,,Tap to skip,Appuyez pour passer,Tocca per saltare,Tippe zum Überspringen,Toca para omitir,Toque para pular,"Тапните, чтобы пропустить",轻按按跳过,點按跳過,넘기려면 탭하세요,タップしてスキップ,Tik om over te slaan,Toca per saltar,luka li weka e ni,"Kliknite, da preskočite"
NEW_PUZZLES_IN,,New puzzles in,Nouveaux niveaux dans,Nuovi rompicapi tra,Neue Rätsel in,Puzles nuevos en,Novos puzzles em,Новая задачка через:,谜题更新倒计时：,距離關卡更新：,새로운 퍼즐,新しいパズル：,Nieuwe puzzels in,Nous puzzles en,musi sin li kama lon tenpo,Nove uganke čez
HINT_TEXT,,HINT,ASTUCE,SUGGERIMENTO,HINWEIS,PISTA,DICA,ПОДСКАЗКА,提示,提示,힌트,ヒント,HINT,PISTA,PANA SONA LILI,NAMIG
NEWSLETTER,,Sign up to the Draknek & Friends newsletter to unlock a few more demo levels in each world:,Souscrivez à la lettre d'information de Draknek & Friends pour débloquer quelques niveaux de démo supplémentaires dans chaque monde :,Iscriviti alla newsletter di Draknek & Friends per sbloccare altri livelli demo di ogni mondo:,"Melde dich für den Newsletter von Draknek & Friends an, um in jeder Welt ein paar weitere Demo-Level freizuschalten:",Inscríbete en el boletín de Draknek & Friends para desbloquear unos pocos niveles de prueba en cada mundo:,Inscreva-se na newsletter da Draknek & Friends para desbloquear mais alguns níveis demo em cada mundo:,"Подпишитесь на рассылку от Draknek & Friends, чтобы открыть больше уровней в каждом мире демо:",订阅Draknek & Friends的电子新闻，各个世界可以多解锁几个试玩关卡：,訂閱Draknek & Friends電子報，就能解鎖各個世界的體驗關卡：,Draknek & Friends 뉴스 레터 서비스에 가입해 각 월드에서 추가 레벨을 잠금 해제 하세요.,the Draknek & Friendsのニュースレターにサインアップして、各ワールドのデモ用ステージをもうちょっとアンロックしよう：,Meld je aan voor de Draknek & Friends-nieuwsbrief om voor iedere wereld een paar nieuwe demolevels te ontgrendelen:,Regístra't al newsletter de Draknek & Friends per desbloquejar uns quants nivells més de demo a cada món:,"kulupu Draknek & Friends li wile toki e sin ona tawa ilo toki sina. sina ken e ni la, utala sin pi mute lili li kama lon ma suli ale.",Prijavi se na Draknek & Friends newsletter in odkleni več demo ugank v vsakem svetu:
NEWSLETTER_THANKS,,Thanks! The locked puzzles have been unlocked in each world.,Merci ! Les niveaux verrouillés ont été débloqués dans chaque monde.,Grazie! Ora sono disponibili i rompicapi bloccati di ogni mondo.,Danke! Die gesperrten Rätsel wurden in jeder Welt freigeschaltet.,¡Gracias! Se han desbloqueado los niveles de prueba de cada mundo.,Obrigado! Os puzzles bloqueados de cada mundo foram desbloqueados.,Спасибо! Все закрытые задачки во всех мирах были открыты.,感谢！每个世界的锁定关卡均已解锁。,謝謝！各個世界的體驗關卡已解鎖。,감사합니다! 각 월드의 잠겨있던 퍼즐들이 잠금해제되었습니다.,ありがとうございます！各ワールドでロックされていたステージがアンロックされました。,Bedankt! De vergrendelde puzzels zijn nu ontgrendeld.,Gràcies! Els puzzles bloquejats s'han desbloquejat en tots els mons.,pona! utala sin pi mute lili li kama lon ma suli ale.,Hvala! Zaklenjene uganke so se odklenile v vseh svetovih.
NEWSLETTER_ERROR,This is an error message that appears when the user fails to sign up for the newsletter,Error :(,Erreur :(,Errore :(,Fehler :(,Error :(,Erro :(,Ошибка :(,出现错误：(,發生錯誤:(,오류가 발생했습니다 :(,エラーが起きました :(,Error :(,Error :(,ilo li pakala :(,Napaka :(
CREDITS_LOCALIZATION2,,Localization,Localisation,Localizzazione,Lokalisierung,Localización,Localização,Перевод,本地化,本地化,현지화,ローカライズ,Lokalisatie,Localització,jan li toki ante e musi,Lokalizacija
,,,,,,,,,,,,,,,,
LOC_TITLE,,Warlocs,Warlocs,Warlocs,Warlocs,Warlocs,Warlocs,Warlocs,Warlocs,Warlocs,Warlocs,Warlocs,Warlocs,Warlocs,kulupu Warlocs li pali pi ante toki,Warlocs
LOC_MANAGEMENT,,Project Management,Gestion de projet,Responsabile di progetto,Projektleitung,Responsable del proyecto,Liderança de projeto,Менеджер локализации,项目管理,專案管理,프로젝트 관리,プロジェクトマネージャー,Projectmanagement,Gestió de projecte,lawa pali,Management projekta
LOC_MANAGEMENT_NAME,,Christophe Pallarès,Christophe Pallarès,Christophe Pallarès,Christophe Pallarès,Christophe Pallarès,Christophe Pallarès,Christophe Pallarès,Christophe Pallarès,Christophe Pallarès,Christophe Pallarès,Christophe Pallarès,Christophe Pallarès,Christophe Pallarès,,Christophe Pallarès
LOC_PTBR,,Brazilian Portuguese,Portugais du Brésil,Portoghese brasiliano,Brasilianisches Portugiesisch,Portugués de Brasil,Português (Brasil),Бразильский португальский,巴西葡萄牙文,巴西葡萄牙文,포르투갈어 (브라질),ポルトガル語,Portugees (Braziliaans),Portugués de Brasil,toki Potuke pi ma Pasiju,Brazilska portugalščina
LOC_PTBR_NAME,,Rômulo Wehling,Rômulo Wehling,Rômulo Wehling,Rômulo Wehling,Rômulo Wehling,Rômulo Wehling,Rômulo Wehling,Rômulo Wehling,Rômulo Wehling,Rômulo Wehling,Rômulo Wehling,Rômulo Wehling,Rômulo Wehling,,Rômulo Wehling
LOC_DUTCH,,Dutch,Néerlandais,Olandese,Niederländisch,Neerlandés,Holandês,Голландский,荷兰文,荷蘭文,네덜란드어,オランダ語,Nederlands,Holandès,toki Netelan,Nizozemščina
LOC_DUTCH_NAME,,Stijn Bekker,Stijn Bekker,Stijn Bekker,Stijn Bekker,Stijn Bekker,Stijn Bekker,Stijn Bekker,Stijn Bekker,Stijn Bekker,Stijn Bekker,Stijn Bekker,Stijn Bekker,Stijn Bekker,,Stijn Bekker
LOC_FRENCH,,French,Français,Francese,Französisch,Francés,Francês,Французский,法文,法文,프랑스어,フランス語,Frans,Francès,toki Kanse,Francoščina
LOC_FRENCH_NAME,,Kévin Malchere,Kévin Malchere,Kévin Malchere,Kévin Malchere,Kévin Malchere,Kévin Malchere,Kévin Malchere,Kévin Malchere,Kévin Malchere,Kévin Malchere,Kévin Malchere,Kévin Malchere,Kévin Malchere,,Kévin Malchere
LOC_GERMAN,,German,Allemand,Tedesco,Deutsch,Alemán,Alemão,Немецкий,德文,德文,독일어,ドイツ語,Duits,Alemany,toki Tosi,Nemščina
LOC_GERMAN_NAME,,Marcel Weyers,Marcel Weyers,Marcel Weyers,Marcel Weyers,Marcel Weyers,Marcel Weyers,Marcel Weyers,Marcel Weyers,Marcel Weyers,Marcel Weyers,Marcel Weyers,Marcel Weyers,Marcel Weyers,,Marcel Weyers
LOC_ITALIAN,,Italian,Italien,Italiano,Italienisch,Italiano,Italiano,Итальянский,意大利文,義大利文,이탈리아어,イタリア語,Italiaans,Italià,toki Italija,Italijanščina
LOC_ITALIAN_NAME,,Carlo De Rensis,Carlo De Rensis,Carlo De Rensis,Carlo De Rensis,Carlo De Rensis,Carlo De Rensis,Carlo De Rensis,Carlo De Rensis,Carlo De Rensis,Carlo De Rensis,Carlo De Rensis,Carlo De Rensis,Carlo De Rensis,,Carlo De Rensis
LOC_JAPANESE,,Japanese,Japonais,Giapponese,Japanisch,Japonés,Japonês,Японский,日文,日文,일본어,日本語,Japans,Japonès,toki Nijon,Japonščina
LOC_JAPANESE_NAME,,Toki Okada,Toki Okada,Toki Okada,Toki Okada,Toki Okada,Toki Okada,Toki Okada,Toki Okada,Toki Okada,Toki Okada,Toki Okada,Toki Okada,Toki Okada,,Toki Okada
LOC_KOREAN,,Korean,Coréen,Coreano,Koreanisch,Coreano,Coreano,Корейский,韩文,韓文,한국어,韓国語,Koreaans,Coreà,toki Anku,Korejščina
LOC_KOREAN_NAME,,WhiteBearPooh,WhiteBearPooh,WhiteBearPooh,WhiteBearPooh,WhiteBearPooh,WhiteBearPooh,WhiteBearPooh,WhiteBearPooh,WhiteBearPooh,WhiteBearPooh,WhiteBearPooh,WhiteBearPooh,WhiteBearPooh,,WhiteBearPooh
LOC_RUSSIAN,,Russian,Russe,Russo,Russisch,Ruso,Russo,Русский,俄文,俄文,러시아어,ロシア語,Russisch,Rus,toki Lusi,Ruščina
LOC_RUSSIAN_NAME,,"Alexander Preymak, Arina Bedrina","Alexander Preymak, Arina Bedrina","Alexander Preymak, Arina Bedrina","Alexander Preymak, Arina Bedrina","Alexander Preymak, Arina Bedrina","Alexander Preymak, Arina Bedrina","Alexander Preymak, Arina Bedrina","Alexander Preymak, Arina Bedrina","Alexander Preymak, Arina Bedrina","Alexander Preymak, Arina Bedrina","Alexander Preymak, Arina Bedrina","Alexander Preymak, Arina Bedrina","Alexander Preymak, Arina Bedrina",,"Alexander Preymak, Arina Bedrina"
LOC_CHINESE,,Simplified Chinese,Chinois simplifié,Cinese semplificato,Vereinfachtes Chinesisch,Chino simplificado,Chinês simplificado,Упрощенный китайский,简体中文,簡體中文,중국어 (간체),簡体字中国語,Chinees (vereenvoudigd),Xinès Simplificat,toki Sonko pi sitelen lili,Poenostavljeno kitajsko
LOC_CHINESE_NAME,,Albert Wei,Albert Wei,Albert Wei,Albert Wei,Albert Wei,Albert Wei,Albert Wei,Albert Wei,Albert Wei,Albert Wei,Albert Wei,Albert Wei,Albert Wei,,Albert Wei
LOC_SPANISH,,Spanish,Espagnol,Spagnolo,Spanisch,Español,Espanhol,Испанский,西班牙文,西班牙文,스페인어,スペイン語,Spaans,Castellà,toki Epanja,Španščina
LOC_SPANISH_NAME,,Javier Cadenas,Javier Cadenas,Javier Cadenas,Javier Cadenas,Javier Cadenas,Javier Cadenas,Javier Cadenas,Javier Cadenas,Javier Cadenas,Javier Cadenas,Javier Cadenas,Javier Cadenas,Javier Cadenas,,Javier Cadenas
LOC_TRADCHINESE,,Traditional Chinese,Chinois traditionnel,Cinese tradizionale,Traditionelles Chinesisch,Chino tradicional,Chinês tradicional,Традиционный китайский,繁体中文,繁體中文,중국어 (번체),繁体字中国語,Chinees (traditioneel),Xinès Tradicional,toki Sonko pi sitelen majuna,Tradicionalno kitajsko
LOC_TRADCHINESE_NAME,,Crystal Dawn,Crystal Dawn,Crystal Dawn,Crystal Dawn,Crystal Dawn,Crystal Dawn,Crystal Dawn,Crystal Dawn,Crystal Dawn,Crystal Dawn,Crystal Dawn,Crystal Dawn,Crystal Dawn,,Crystal Dawn
,,,,,,,,,,,,,,,,
SLOVENIAN,"The name of the language as it would appear in localization credits, please",Slovenian,Slovène,Sloveno,Slowenisch,Esloveno,Esloveno,Словенский,斯洛文尼亚文,斯洛文尼亞文,슬로베니아어,スロベニア語,Sloveens,Eslovè,toki Lowensi,Slovenščina
CATALAN_SPANISH,"The name of the language as it would appear in localization credits, please",Catalan & Spanish,Catalan et espagnol,Catalano e spagnolo,Katalanisch & Spanisch,Catalán y español,Catalão & espanhol,Каталанский испанский,加泰罗尼亚文与西班牙文,加泰隆尼亞文與西班牙文,카탈루냐어 및 스페인어,カタルーニャ語&スペイン語,Catalaans & Spaans,Català,toki Katala en toki Epanja,Katalonščina
,,,,,,,,,,,,,,,,
CREDITS_PORT_TITLE,,Console Port by,Adaptation console réalisée par,Porting console di,Konsolenportierung von,Versión para consolas por,Portabilidade para consoles por,Порт на консоли,主机移植版负责团队：,主機移植版負責團隊：,콘솔 포트,コンソール移植：,Consoleport door,Port de consola fet per,Console Port by,Konzolni prenos
